Artist;Genre
Ans. Andur;Eesti-S
Aretha Franklin;Utility
Matthew Hunter;Deeper
Charli xcx;Pop
Andy Cato;Prechill
Triste Janero;Prechill
The Field;Ambient
Fred again.., Obongjayar;Prechill
Scuba;Deeper
Rick Patterson;Utility
Kyle Edwards, DJ Smaltz;Jersey Club
NxWorries, Anderson .Paak, Knxwledge;Beats
The Olympians;Funk
East 17;90/00s
Cinthie;Deeper
Eliza Rose, Interplanetary Criminal;House
Alice DJ;Trance
Earth Trax, Newborn Jr., Annjet;Deeper
Laid Back;Prechill
Dølle Jølle;Ambient
Lowderz;Mainstream Dance
Fred Everything;Folamour
Fatman Scoop, Crooklyn Clan;RnB
Luvless;Prechill
ORBITAL;Prechill
Makebo;Progressive
The Emotions;Disco
Alan Walker, Dash Berlin, Vikkstar;EDM
Young Marco;Ambient
Telephones;Deeper
El Guincho;Prechill
Richard Dorfmeister, Madrid De Los Austrias;Folamour
Banda Black Rio;Brazil
owlh;Prechill
Caribou;Prechill
Justin Timberlake;RnB
Billy Ocean;Disco
Vicious Pink;Retro
New Order;Retro
Not Real Presence;Deeper
Post Malone;Pop
Fergie;RnB
Air France;Prechill
Teddy Pendergrass;Funk
Chico Mann, Captain Planet;Reggaeton
Soulja Boy;Hip-Hop
Pickle;Tech-House
Red 5;Trance
Houdinne;Hip-Hop
Wang Chung;Retro
Lucenzo, Don Omar;Reggaeton
Kölsch;House
Nelly, Kelly Rowland;RnB
KiNK;House
The Human League;Retro
Creedence Clearwater Revival;Retro
O-Zone;Utility
Fleetwood Mac;Retro
Vintage Lounge Orchestra, Director's Cut, Laura Serra;Nu-Disco
Silk City, Dua Lipa, Diplo;Mainstream Dance
Rupert Holmes;Utility
Sky Ferreira;Pop
Bent;Prechill
Madonna;Retro
Axel Boman;Ambient
Sean Nicholas Savage;Retro
Kings of Tomorrow, Julie MC Knight;Soulful House
Yamagucci, DvirNuns;Progressive
Ashanti;RnB
Hillside;Prechill
The O'Jays;Funk
Jimothy Lacoste;Utility
Chromatics;Pop
Fergie, Ludacris;RnB
Afrojack, Ty Dolla $ign;EDM
Dodgy;90/00s
Gouryella;Trance
Empire Of The Sun;Pop
Genialistid;Eesti-S
Kryder, Ginchy, CLO;Afro House
Hyper Go Go;Folamour
Josh Wink;Deeper
Confidence Man;Deeper
Baauer, Bipolar Sunshine;Pop
Enlighten1;Ambient
The Change;Reggaeton
OMC;Retro
Sons of Maria;EDM
SAUCY LADY;Folamour
Black Eyed Peas;Pop
Donna Lewis, Nora En Pure;Mainstream Dance
Donna Lewis;Retro
Forever;Nu-Disco
Curtis Stigers;Retro
Mylo;Prechill
Texas;90/00s
Shaggy, Rayvon;90/00s
RUN-DMC, Jason Nevins;Hip-Hop
Bee Gees;Disco
Van Halen;Retro
Depeche Mode;Retro
The Blaze;Deeper
Speedometer;Prechill
Chebaleba, RicoWamos;Hip-Hop
Sini Sabotage;RnB
GAng;Prechill
Lenna;Eesti-S
The Beach Boys;Retro
Lenna, Planeet;Eesti-S
Los Lobos, Lalo Guerrero;Retro
Tom Petty;Retro
SONYA SPENCE;Funk
Rare Pleasure;Disco
Pete Townshend;Retro
Ronan Keating;90/00s
Bob Dylan;Retro
Vaiko Eplik;Eesti-S
Solange;Prechill
Taja Sevelle;Retro
Bobby Womack;Prechill
John Paul Young;Retro
common, Marsha Ambrosius, PJ;Hip-Hop
PillowTalk, Soul Clap, Greg Paulus, Crew Love;Folamour
PNAU, Vlossom;Nu-Disco
Brenda Russell;Disco
Cartoon, Kristel Aaslaid;Eesti-S
LAUER, Dena;Electronic
LAUER;Electronic
Lasse Mårtenson;Utility
Paul Johnson;Folamour
Animal Collective;Ambient
Labi Siffre;Funk
Taucher, Talla 2XLC;Trance
Honne, Jones;Ambient
Wham!;Retro
KOIT TOOME;Eesti-S
The Notorious B.I.G.;Utility
Karavan;Eesti-S
The Disko Starz;Folamour
Drax Ltd. II;Deeper
Musical Youth;Reggae
CASISDEAD;Ambient
Justin Bieber, Daniel Caesar, GIVĒON;Pop
Palmbomen II;Ambient
Bross (RO), VICTHOR;Progressive
Joutro Mundo;Brazil
DJ Clock, Beatenberg;Prechill
TSHA;Neo-Soul
PPJ;Prechill
CamelPhat, PPJ;Folamour
Páula, Povoa, Jerge;Folamour
MJ Nebreda;Prechill
Phase II;Folamour
Jimmy Cliff;Retro
Amy Winehouse;Pop
Röyksopp;Prechill
Daniel Maloso;Deeper
Boney M.;Disco
Hudson Mohawke;Beats
The Weeknd;Pop
The Jackson 5;Disco
Laura Mvula;Pop
Maceo Plex, Kirsty Hawkshaw;Deeper
Badly Drawn Boy;90/00s
Paul McCartney, Wings;Retro
Paul McCartney;Retro
Igarashi kanta;Rave
Tears For Fears;Retro
Pal Joey;Folamour
Spice Girls;90/00s
Diana King;RnB
ABBA;Retro
Phil Collins;Retro
Collage;Eesti-S
U2;Retro
Møzaika;Deeper
Fred again..;Deeper
Frankie Knuckles, Satoshi Tomiie;Folamour
Chaka Demus & Pliers, Pliers;Reggae
Marten Kuningas;Eesti-S
The Bucketheads;Folamour
The Mohawks;Funk
Nevada, Mark Morrison, Fetty Wap;EDM
Men Without Hats;Retro
Mac Miller, Empire Of The Sun;Prechill
Frankie Knuckles;Folamour
Allen French;Deeper
Frankie Knuckles, Director's Cut, Eric Kupper;House
Calvin Harris, Rihanna;Mainstream Dance
Murkage Dave, Mike Skinner;Prechill
Cyndi Lauper;Retro
Dina Ögon;Prechill
Harold Faltermeyer, Steve Stevens;Utility
Dillon Francis;House
Jessie Ware;Mainstream Dance
DJ Chus;Folamour
TLC;RnB
Kings Of Leon;90/00s
Letta Mbulu;Brazil
Janet Silvera;Prechill
DJ Disse;Prechill
Lou Reed;Retro
Annie Lennox;Retro
The Police;Retro
Mariah Carey;RnB
Folamour;Folamour
Digable Planets;Hip-Hop
Basement Jaxx;House
Frank Ocean;Ambient
Grandmaster Flash;Retro
